name,description,latitude,longitude,image_url,type,source,state
Grand Teton National Park,"Grand Teton National Park is a national park of the United States in northwestern Wyoming. At approximately 310,000 acres (1,300 km2), the park includes the major peaks of the 40-mile-long (64 km) Teton Range as well as most of the northern sections of the valley known as Jackson Hole. Grand Teton National Park is 10 miles (16 km) south of Yellowstone National Park, to which it is connected by the John D. Rockefeller Jr. Memorial Parkway which is managed by the National Park Service. Along with surrounding national forests, these three protected areas constitute the almost 22-million-acre (89,000-square-kilometer) Greater Yellowstone Ecosystem, one of the world's largest intact mid-latitude temperate ecosystems.",43.83333333,-110.70083333,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Barns_grand_tetons.jpg/330px-Barns_grand_tetons.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Grand_Teton_National_Park,Wyoming
Great Basin National Park,"Great Basin National Park is a national park of the United States located in White Pine County in east-central Nevada, near the Utah border, established in 1986. The park is most commonly entered by way of Nevada State Route 488, which is connected to U.S. Routes 6 and 50 by Nevada State Route 487 via the small town of Baker, the closest settlement.",39.00581,-114.21969,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Prometheus_Wheeler.jpg/330px-Prometheus_Wheeler.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Basin_National_Park,Nevada
Great Sand Dunes National Park and Preserve,"Great Sand Dunes National Park and Preserve is a national park of the United States that conserves an area of large sand dunes on the eastern edge of the San Luis Valley, and an adjacent national preserve in the Sangre de Cristo Range, in south-central Colorado. The park was originally designated Great Sand Dunes National Monument on March 17, 1932, by President Herbert Hoover. The original boundaries protected an area of 35,528 acres. A boundary change and redesignation as a national park and preserve was authorized on November 22, 2000, and then established on September 24, 2004. The park encompasses 107,342 acres while the preserve protects an additional 41,686 acres for a total of 149,028 acres. The recreational visitor total was 527,546 in 2019.",37.7329,-105.5121,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg/330px-Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Sand_Dunes_National_Park_and_Preserve,Colorado
Great Smoky Mountains National Park,"Great Smoky Mountains National Park is a national park of the United States in the southeast, with parts in North Carolina and Tennessee. The park straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain. The park contains some of the highest mountains in eastern North America, including Kuwohi, Mount Guyot, and Mount Le Conte. The border between the two states runs northeast to southwest through the center of the park. The Appalachian Trail passes through the center of the park on its route from Georgia to Maine. With 13 million visitors in 2023, the Great Smoky Mountains National Park is the most visited national park in the United States.",35.61111111,-83.425,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/View_atop_Cliff_Tops_on_Mount_LeConte%2C_GSMNP%2C_TN.jpg/330px-View_atop_Cliff_Tops_on_Mount_LeConte%2C_GSMNP%2C_TN.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Smoky_Mountains_National_Park,Tennessee
Guadalupe Mountains National Park,"Guadalupe Mountains National Park is a national park of the United States in the Guadalupe Mountains, east of El Paso, Texas. The mountain range includes Guadalupe Peak, the highest point in Texas at 8,751 feet (2,667 m), and El Capitan used as a landmark by travelers on the route later followed by the Butterfield Overland Mail stagecoach line. The ruins of a stagecoach station stand near the Pine Springs visitor center. The restored Frijole Ranch contains a small museum of local history and is the trailhead for Smith Spring. The park covers 86,367 acres in the same mountain range as Carlsbad Caverns National Park, about 25 miles (40 km) to the north in New Mexico. The Guadalupe Peak Trail winds through pinyon pine and Douglas-fir forests as it ascends over 3,000 feet (910 m) to the summit of Guadalupe Peak, with views of El Capitan and the Chihuahuan Desert.",31.91666667,-104.86666667,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Guadalupe_Peak_from_Hunter_Peak.jpg/330px-Guadalupe_Peak_from_Hunter_Peak.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Guadalupe_Mountains_National_Park,Texas
Haleakalā National Park,"Haleakalā National Park is a national park of the United States located on the island of Maui, Hawaii. Named after Haleakalā, a dormant volcano within its boundaries, the park covers an area of 33,265 acres, of which 24,719 acres is a wilderness area. The land was designated a national park in 1976 and its boundaries expanded in 2005.",20.71666667,-156.16666667,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Haleakala_National_Park_02.jpg/330px-Haleakala_National_Park_02.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Haleakalā_National_Park,Hawaii
Hawaiʻi Volcanoes National Park,"Hawaiʻi Volcanoes National Park is a national park of the United States located in Hawaii on the island of Hawaii. The park encompasses two active volcanoes: Kīlauea, one of the world's most active volcanoes, and Mauna Loa, the world's largest shield volcano. The park provides scientists with insight into the development of the Hawaiian Islands and access for studies of volcanism. For visitors, the park offers dramatic volcanic landscapes, glimpses of rare flora and fauna, and a view into the traditional Hawaiian culture connected to these landscapes.",19.38333333,-155.2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/P%C4%81hoehoe_and_Aa_flows_at_Hawaii.jpg/330px-P%C4%81hoehoe_and_Aa_flows_at_Hawaii.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Hawaiʻi_Volcanoes_National_Park,Hawaii
Hot Springs National Park,"Hot Springs National Park is a national park of the United States in central Garland County, Arkansas, adjacent to the city of Hot Springs. Hot Springs Reservation was initially created by an act of the United States Congress on April 20, 1832, to be preserved for future recreation. Established before the concept of a national park existed, it was the first time that land had been set aside by the federal government to preserve its use as an area for recreation. The hot spring water has been popularly believed for centuries to possess medicinal properties, and was a subject of legend among several Native American tribes. Following federal protection in 1832, the city developed into a successful spa town.",34.51361111,-93.05361111,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Steamy_Entrance_Springs_on_Cold_Night_in_Hot_Springs_National_Park.jpg/330px-Steamy_Entrance_Springs_on_Cold_Night_in_Hot_Springs_National_Park.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Hot_Springs_National_Park,Arkansas
Indiana Dunes National Park,"Indiana Dunes National Park is a national park of the United States located in northwestern Indiana managed by the National Park Service. It was authorized by Congress in 1966 as the Indiana Dunes National Lakeshore and was redesignated as the nation's 61st national park on February 15, 2019. The park runs for about 20 miles (32 km) along the southern shore of Lake Michigan and covers 15,349 acres (6,212 ha). Along the lakefront, the eastern area is roughly the lake shore south to U.S. 12 or U.S. 20 between Michigan City, Indiana, on the east and the Cleveland-Cliffs steel plant on the west. This area's conservation scheme is enhanced by the older Indiana Dunes State Park. To the west of the steel plant lies West Beach and a small extension south of the steel mill continues west along Salt Creek to Indiana 249. The western area is roughly the shoreline south to U.S. 12 between the Burns Ditch west to Broadway in downtown Gary, Indiana. In addition, there are several outlying areas, including Pinhook Bog, in LaPorte County to the east; the Heron Rookery in Porter County, the center of the park; and the Hoosier Prairie State Nature Preserve and the Hobart Prairie Grove, both in Lake County, the western end of the park.",41.64805556,-87.10805556,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Indiana_Dunes_National_Lakeshore%2C_Michigan_City%2C_Indiana%2C_Estados_Unidos%2C_2012-10-20%2C_DD_03.jpg/330px-Indiana_Dunes_National_Lakeshore%2C_Michigan_City%2C_Indiana%2C_Estados_Unidos%2C_2012-10-20%2C_DD_03.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Indiana_Dunes_National_Park,Indiana
Isle Royale National Park,"Isle Royale National Park is a national park of the United States consisting of Isle Royale, along with more than 400 small adjacent islands and the surrounding waters of Lake Superior, in Michigan.",48.01,-88.85,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Edisen_Fishery_at_IRNP.jpg/330px-Edisen_Fishery_at_IRNP.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Isle_Royale_National_Park,Michigan
Joshua Tree National Park,"Joshua Tree National Park is a US National Park located in southeastern California, straddling north-central Riverside County and part of southern San Bernardino County. Named after the endemic Joshua tree, found in the park and surrounding areas, Joshua Tree is situated some 130 miles (211 km) east of the city of Los Angeles and roughly 78 mi (125 km) east of the city of San Bernardino. Among some of the closest cities to the park are Indio, Palm Desert, and Palm Springs. Originally declared a national monument in 1936, Joshua Tree was redesignated as a national park in 1994 when the U.S. Congress passed the California Desert Protection Act.",34.1,-116.27,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Joshua_Tree_-_Cyclops_%2B_Potato_Head_-_Sunrise.jpg/330px-Joshua_Tree_-_Cyclops_%2B_Potato_Head_-_Sunrise.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Joshua_Tree_National_Park,California
Katmai National Park and Preserve,"Katmai National Park and Preserve is a United States national park and preserve in southwest Alaska, notable for the Valley of Ten Thousand Smokes and for its brown bears. The park and preserve encompass 4,093,077 acres, which is between the sizes of Connecticut and New Jersey. Most of the national park is a designated wilderness area. The park is named after Mount Katmai, its centerpiece stratovolcano. The park is located on the Alaska Peninsula, across from Kodiak Island, with headquarters in nearby King Salmon, about 290 miles (470 km) southwest of Anchorage. The area was first designated a national monument in 1918 to protect the area around the major 1912 volcanic eruption of Novarupta, which formed the Valley of Ten Thousand Smokes, a 40-square-mile (100 km2), 100-to-700-foot-deep pyroclastic flow. The park includes as many as 18 individual volcanoes, seven of which have been active since 1900.",58.5,-155,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Katmai_Crater_1980.jpg/330px-Katmai_Crater_1980.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Katmai_National_Park_and_Preserve,Alaska
Kenai Fjords National Park,"Kenai Fjords National Park is a national park of the United States that comprises the Harding Icefield, its outflowing glaciers, and coastal fjords and islands. The park covers an area of 669,984 acres on the Kenai Peninsula in south-central Alaska, west of the town of Seward.",59.91777778,-149.9875,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Kenai_Fjords_coast.jpg/330px-Kenai_Fjords_coast.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Kenai_Fjords_National_Park,Alaska
Kings Canyon National Park,"Kings Canyon National Park is a national park of the United States in the southern Sierra Nevada, in Fresno and Tulare Counties, California. Originally established in 1890 as General Grant National Park, the park was greatly expanded and renamed on March 4, 1940. The park's namesake, Kings Canyon, is a rugged glacier-carved valley more than a mile (1,600 m) deep. Other natural features include multiple 14,000-foot (4,300 m) peaks, high mountain meadows, swift-flowing rivers, and some of the world's largest stands of giant sequoia trees. Kings Canyon is north of and contiguous with Sequoia National Park, and both parks are jointly administered by the National Park Service as the Sequoia and Kings Canyon National Parks.",36.78928,-118.67286,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/KingsCanyonNP.JPG/330px-KingsCanyonNP.JPG,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Kings_Canyon_National_Park,California
Kobuk Valley National Park,"Kobuk Valley National Park is a national park of the United States in the Arctic region of northwestern Alaska, located about 25 miles (40 km) north of the Arctic Circle. The park was designated in 1980 by the Alaska National Interest Lands Conservation Act to preserve the 100 ft (30 m) high Great Kobuk Sand Dunes and the surrounding area which includes caribou migration routes. Park visitors must bring all their own gear for backcountry camping, hiking, backpacking, boating, and dog sledding. No designated trails or roads exist in the park, which at 1,750,716 acres, is slightly larger than the state of Delaware. Kobuk Valley is one of eight national parks in Alaska, the state with the second most national parks, surpassed only by California which has nine. The park is managed by the National Park Service.",67.55,-159.28333333,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Kobuk_Bendlova_235.jpg/330px-Kobuk_Bendlova_235.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Kobuk_Valley_National_Park,Alaska
Lake Clark National Park and Preserve,"Lake Clark National Park and Preserve is a United States national park and preserve in southwest Alaska, about 100 miles (160 km) southwest of Anchorage. The park was first proclaimed a national monument in 1978, then established as a national park and preserve in 1980 by the Alaska National Interest Lands Conservation Act. The park includes many streams and lakes vital to the Bristol Bay salmon fishery, including its namesake Lake Clark. A wide variety of recreational activities may be pursued in the park and preserve year-round. The park protects rainforests along the coastline of Cook Inlet, alpine tundra, glaciers, glacial lakes, major salmon-bearing rivers, and two volcanoes, Mount Redoubt and Mount Iliamna. Mount Redoubt is active, erupting in 1989 and 2009. The wide variety of ecosystems in the park mean that virtually all major Alaskan animals, terrestrial and marine, may be seen in and around the park. Salmon, particularly sockeye salmon, play a major role in the ecosystem and the local economy. Large populations of brown bears are attracted to feed on the spawning salmon in the Kijik River and at Silver Salmon Creek. Bear watching is a common activity in the park.",60.96666667,-153.41666667,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Lake_Clark_National_Park.jpg/330px-Lake_Clark_National_Park.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Lake_Clark_National_Park_and_Preserve,Alaska
